video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=w1EhBhtgL6s,/c/ThenotsoboringMan,The not so boring Man,Elon Musk Surprising Opinion About Climate Change 😳🔥 #shorts #sustainability,11M,11M views,,2022-01-31 12:57:20.454602
/watch?v=1ghemOomiMM,/c/Inspiredchannel,INSPIRED,The Bigger Picture About Climate Change The Mainstream Won't Talk About | GREGG BRADEN,91K,91K views,,2022-01-31 12:57:20.462727
/watch?v=G4H1N_yXBiA,/c/NatGeo,National Geographic,Causes and Effects of Climate Change | National Geographic,3.2M,3.2M views,,2022-01-31 12:57:20.468752
/watch?v=dcBXmj1nMTQ,/c/aljazeeraenglish,Al Jazeera English,What is Climate Change? | Start Here,722K,722K views,,2022-01-31 12:57:20.475513
/watch?v=CqtZdnpfgIc,/c/SimonOxfPhys,Simon Clark,What the Hockey Stick missed about climate change,179K,179K views,,2022-01-31 12:57:20.482729
/watch?v=tMwFNMfjFuU,/c/crashcourse,CrashCourse,What is Climate Change? Crash Course Geography #14,113K,113K views,,2022-01-31 12:57:20.489231
/watch?v=pLU8v8fAw7s,/goddardtv,NASA Goddard,Temperature Record 101: How We Know What We Know about Climate Change,30K,30K views,,2022-01-31 12:57:26.747851
/watch?v=0h5y7dY3eqc,/c/MostAmazingTop10,MostAmazingTop10,Top 10 Cities That Will Be Underwater Soon Due To Climate Change,114K,114K views,,2022-01-31 12:57:26.754607
/watch?v=F_pKB_C1NdQ,/c/CNBC,CNBC,Can Homeowners In The U.S. Afford Climate Change?,280K,280K views,,2022-01-31 12:57:26.761423
/watch?v=DU-CG2NKv9Q,/c/NBCNews,NBC News,How The West Was Lost: Climate Change | Meet The Press Reports,226K,226K views,,2022-01-31 12:57:26.767251
/watch?v=-D_Np-3dVBQ,/user/MattMiltonberger,Matt Miltonberger,Climate Change - We are the PROBLEM & the SOLUTION (Animated Infographic),697K,697K views,,2022-01-31 12:57:26.772623
